edad,genero,zona,promedio_calificaciones,tasa_asistencia,reprobaciones_previas,nivel_socioeconomico,educacion_padre,educacion_madre,trabaja_estudiante,distancia_escuela,acceso_internet,actividades_extracurriculares,apoyo_familiar,incidencias_disciplinarias,cambios_escuela,beca,desercion
14,F,Urbana,68.3,100.0,1,Alto,Secundaria,Primaria,0,0.6,1,0,Medio,0,0,0,0
19,F,Urbana,52.0,76.1,3,Bajo,Primaria,Secundaria,0,6.2,0,0,Bajo,3,1,1,1
18,F,Urbana,76.8,84.4,2,Medio,Secundaria,Superior,0,3.0,0,1,Bajo,1,0,0,1
17,F,Urbana,82.2,72.5,2,Bajo,Primaria,Primaria,0,2.4,1,0,Alto,1,0,0,0
17,M,Urbana,82.7,89.7,1,Bajo,Ninguno,Superior,0,2.2,1,1,Medio,0,0,1,0
20,M,Urbana,75.1,92.9,0,Medio,Secundaria,Secundaria,0,2.0,1,1,Alto,0,0,0,0
14,M,Urbana,86.9,91.8,1,Bajo,Ninguno,Superior,1,2.0,1,1,Medio,2,0,0,0
18,F,Urbana,86.4,98.4,0,Medio,Secundaria,Primaria,0,0.0,1,0,Alto,0,0,1,0
15,M,Rural,61.7,77.6,1,Medio,Primaria,Ninguno,1,5.4,1,0,Alto,1,0,0,1
14,F,Urbana,68.9,83.2,2,Bajo,Secundaria,Ninguno,1,1.9,1,1,Alto,3,0,0,1
17,M,Urbana,82.9,93.6,1,Medio,Primaria,Secundaria,0,5.7,1,1,Medio,1,1,0,0
20,F,Urbana,62.4,82.4,1,Medio,Primaria,Superior,0,1.8,1,1,Alto,1,0,0,0
19,M,Rural,57.5,89.5,1,Alto,Secundaria,Secundaria,0,8.2,1,0,Medio,3,0,1,0
19,F,Urbana,70.2,83.6,1,Bajo,Secundaria,Ninguno,0,5.2,0,0,Alto,1,0,0,1
19,F,Urbana,80.7,93.1,0,Alto,Primaria,Ninguno,0,0.0,1,0,Medio,2,0,1,0
19,F,Urbana,53.2,91.6,1,Alto,Superior,Secundaria,0,6.1,0,0,Bajo,0,0,0,1
17,M,Urbana,96.2,100.0,0,Medio,Primaria,Superior,0,8.8,1,0,Medio,0,0,1,0
14,M,Urbana,71.5,91.0,0,Medio,Ninguno,Primaria,0,1.4,0,1,Medio,0,0,0,0
19,F,Rural,74.4,83.4,1,Medio,Primaria,Secundaria,0,27.0,1,1,Medio,1,0,0,0
17,M,Urbana,67.3,92.1,0,Alto,Secundaria,Secundaria,0,0.1,1,1,Medio,0,0,0,0
17,F,Urbana,50.9,75.1,2,Bajo,Secundaria,Superior,0,0.7,1,0,Bajo,2,1,0,1
16,F,Urbana,82.1,88.4,1,Alto,Secundaria,Superior,0,0.5,1,0,Alto,1,0,0,0
15,F,Rural,83.5,88.5,1,Alto,Secundaria,Primaria,0,7.9,1,1,Medio,2,1,1,0
20,F,Rural,73.8,80.7,2,Medio,Primaria,Secundaria,1,10.5,1,1,Bajo,0,0,0,0
19,F,Rural,92.4,82.6,2,Medio,Primaria,Superior,0,11.2,0,1,Alto,1,0,1,0
18,M,Urbana,73.9,100.0,0,Medio,Ninguno,Superior,0,1.6,0,1,Medio,0,0,0,0
16,M,Rural,58.2,80.6,3,Medio,Secundaria,Secundaria,0,9.8,1,0,Alto,1,0,0,0
19,M,Rural,66.9,86.6,3,Alto,Ninguno,Primaria,0,8.0,1,0,Medio,1,0,0,0
17,M,Urbana,64.1,69.8,3,Bajo,Secundaria,Secundaria,0,1.4,0,1,Bajo,1,0,0,0
17,F,Urbana,58.4,52.6,3,Bajo,Secundaria,Secundaria,1,6.5,0,1,Bajo,3,1,0,0
17,M,Rural,59.8,69.2,3,Bajo,Secundaria,Primaria,1,9.8,1,0,Alto,1,0,0,1
15,M,Urbana,92.9,100.0,0,Alto,Ninguno,Superior,0,2.5,1,0,Alto,0,0,0,0
14,F,Rural,79.7,97.9,0,Medio,Primaria,Primaria,1,13.5,1,1,Alto,0,0,0,0
17,F,Urbana,77.2,81.1,2,Alto,Secundaria,Superior,0,4.4,0,1,Bajo,1,1,0,1
20,M,Urbana,80.2,94.8,0,Medio,Secundaria,Primaria,0,4.5,1,1,Alto,0,0,1,0
14,F,Urbana,75.5,95.2,2,Bajo,Primaria,Ninguno,0,2.0,1,0,Medio,0,0,1,0
20,M,Rural,86.6,100.0,2,Alto,Secundaria,Secundaria,0,6.4,1,1,Medio,0,0,0,0
19,F,Rural,80.9,86.6,0,Medio,Superior,Secundaria,0,12.9,1,1,Medio,0,0,0,1
15,F,Urbana,82.5,94.7,0,Medio,Primaria,Superior,0,1.7,1,0,Alto,0,0,0,0
18,F,Urbana,62.1,83.1,0,Bajo,Superior,Secundaria,0,0.3,1,0,Alto,0,0,0,0
15,F,Urbana,76.3,88.3,0,Bajo,Ninguno,Ninguno,0,2.0,0,0,Medio,1,0,0,0
19,F,Urbana,68.6,72.4,3,Bajo,Superior,Superior,0,4.0,0,0,Alto,4,1,0,1
18,F,Rural,74.7,88.3,1,Medio,Primaria,Secundaria,0,5.7,1,0,Medio,0,0,0,0
16,F,Urbana,69.8,77.3,1,Medio,Primaria,Primaria,0,0.0,1,0,Medio,0,0,1,1
14,M,Urbana,53.6,68.3,2,Bajo,Ninguno,Superior,1,4.1,1,0,Medio,1,0,0,1
20,F,Urbana,81.7,93.8,1,Bajo,Secundaria,Primaria,0,1.3,0,1,Alto,0,0,0,0
17,F,Rural,71.9,87.1,2,Bajo,Superior,Ninguno,1,11.4,1,0,Medio,1,0,0,1
20,F,Urbana,79.8,67.0,2,Medio,Primaria,Secundaria,0,4.0,0,0,Bajo,1,0,0,0
18,F,Rural,66.6,84.8,1,Alto,Primaria,Secundaria,1,7.3,0,1,Alto,1,0,0,0
19,F,Urbana,72.7,96.2,1,Medio,Primaria,Secundaria,0,0.7,1,0,Medio,0,0,0,0
19,M,Urbana,53.5,65.4,3,Bajo,Primaria,Superior,0,2.8,1,0,Alto,1,1,0,0
15,M,Rural,90.5,98.1,0,Medio,Secundaria,Primaria,0,5.0,1,1,Medio,0,0,0,0
16,M,Urbana,91.7,89.6,0,Alto,Ninguno,Superior,0,0.4,0,1,Medio,0,0,1,0
17,F,Rural,91.4,94.4,0,Medio,Superior,Ninguno,0,7.1,0,1,Alto,0,0,1,0
17,F,Urbana,79.3,76.1,1,Alto,Superior,Ninguno,0,1.2,1,0,Bajo,0,0,1,0
14,M,Rural,84.4,90.4,2,Alto,Ninguno,Primaria,1,7.7,1,1,Medio,0,0,0,0
17,M,Rural,80.9,97.1,2,Medio,Secundaria,Ninguno,0,5.5,1,0,Medio,0,0,1,0
15,F,Rural,79.7,91.8,1,Alto,Superior,Primaria,0,5.4,1,1,Alto,0,0,1,0
19,F,Urbana,72.1,80.6,2,Bajo,Superior,Superior,0,4.1,1,0,Medio,1,0,0,1
18,F,Rural,75.2,77.1,1,Alto,Secundaria,Superior,1,11.2,0,0,Alto,1,0,0,0
20,M,Rural,92.2,86.8,1,Alto,Ninguno,Secundaria,0,6.7,0,1,Alto,0,0,0,1
19,M,Urbana,76.2,79.4,0,Alto,Ninguno,Ninguno,1,4.9,1,0,Medio,0,0,0,0
16,M,Urbana,83.2,98.5,0,Medio,Secundaria,Superior,0,4.5,1,1,Medio,0,0,0,0
20,M,Rural,75.1,85.4,2,Medio,Primaria,Primaria,0,5.1,0,0,Bajo,0,1,0,0
16,F,Urbana,72.8,84.1,0,Bajo,Secundaria,Secundaria,0,8.1,1,1,Medio,0,0,1,0
16,M,Rural,67.2,80.3,2,Medio,Secundaria,Secundaria,0,5.3,1,0,Bajo,1,0,0,0
20,F,Rural,69.2,75.6,4,Medio,Primaria,Primaria,0,14.4,0,0,Medio,1,1,0,1
16,F,Urbana,74.4,64.1,2,Medio,Ninguno,Secundaria,0,3.0,0,1,Bajo,1,0,0,0
14,M,Urbana,86.9,89.8,1,Medio,Primaria,Superior,0,2.6,1,1,Alto,0,0,0,0
17,M,Urbana,86.1,80.0,1,Bajo,Superior,Primaria,0,0.2,1,0,Medio,1,0,0,0
19,F,Urbana,65.5,74.3,3,Bajo,Primaria,Secundaria,1,4.3,0,1,Medio,2,0,0,0
15,M,Rural,73.7,82.0,1,Bajo,Ninguno,Superior,0,5.2,1,1,Medio,1,0,1,0
17,M,Urbana,75.5,79.2,1,Medio,Superior,Primaria,0,2.8,1,1,Bajo,0,0,0,0
14,F,Urbana,67.7,69.7,2,Medio,Secundaria,Primaria,0,0.5,0,0,Medio,1,0,0,0
18,F,Rural,79.8,79.1,2,Medio,Secundaria,Secundaria,1,10.0,1,1,Alto,2,0,0,0
17,F,Urbana,56.9,77.5,1,Bajo,Secundaria,Secundaria,0,1.6,0,1,Medio,2,0,0,0
16,M,Rural,74.2,88.3,1,Alto,Primaria,Primaria,0,6.0,1,0,Medio,2,0,0,0
15,M,Urbana,100.0,100.0,0,Medio,Superior,Secundaria,0,5.9,1,0,Alto,0,0,1,0
17,M,Urbana,79.1,75.3,2,Bajo,Superior,Primaria,0,0.1,0,1,Bajo,1,1,1,1
18,M,Urbana,87.6,98.2,1,Bajo,Primaria,Superior,0,8.7,1,1,Alto,0,0,0,0
